"Sektor","Industri","Model","Beskrivelse","installer","state","bug","spesificity","usage","scope","applications","nationality","recommeded","documentation","language"
"Renewable Energy¶","Wind Turbines¶","IEA","IEA-15-240-RWT - A 15 MW reference wind turbine repository developed in conjunction with IEA Wind.","conda","","","general","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","makani","makani - Was a project to develop a commercial-scale airborne wind turbine, culminating in a flight test of the Makani M600 off the coast of Norway.","","discontinued","","specialised","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","windpowerlib","windpowerlib - The windpowerlib is a library to model the output of wind turbines and farms.","pip","continued","slightly buggey","general","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","turbinesFoam","turbinesFoam - A library for simulating wind and marine hydrokinetic turbines in OpenFOAM using the actuator line method.","","","","specialised","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","nalu","nalu-wind - Solver for wind farm simulations targeting exascale computational platforms.","","","","","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","openfast","openfast - Was created with the goal of being a community model developed and used by research laboratories, academia, and industry.","conda","","","general","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","amr","amr-wind - A massively parallel, block-structured adaptive-mesh, incompressible flow sover for wind turbine and wind farm simulations.","","","","specialised","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","QBlade","QBlade - Provides a hands-on design and simulation capabilities for HAWT and VAWT rotor design and shows all the fundamental relationships of design concepts and turbine performance in an easy and intuitive way.","exe","","","specialised","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","OpenOA","OpenOA - This library provides a framework for working with large time series data from wind plants, such as SCADA.","pip","","","general","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","ROSCO","ROSCO - NREL's Reference OpenSource Controller for wind turbine applications.","limited pip","","","specialised","","","","","","",""
"Renewable Energy¶","Wind Turbines¶","floris","floris - A controls-oriented engineering wake model.","pip","","","","low","","","","used by dtu","",""
"Renewable Energy¶","Wind Turbines¶","windtools","windtools - The Wind Energy Generation Tools provides useful tools to assist in wind energy simulations.","notebook","","","","low","","synthetic data","","","",""
"Renewable Energy¶","Wind Turbines¶","PyWake","PyWake - An AEP calculator for wind farms implemented in Python including a collection of wake models.","pip","","","","","comprehensive","","DTU","","",""
"Renewable Energy¶","Wind Turbines¶","WISDEM","WISDEM - Wind Plant Integrated System Design and Engineering Model.","conda","","","","","comprehensive","","","","",""
